Year,Artist,Title,Reason
2019,Anitta,Combatchy (feat. MC Rebecca),language
2021,Anne-Marie,2002,drinking / drugs / partying
2021,Anne-Marie,Birthday,language
2016,Anne-Marie,Alarm,content - sexual
2021,Anne-Marie,Don't Play,language
2021,Anne-Marie,Kiss My (Uh Oh),content - sexual
2021,Anne-Marie,Our Song,language
2019,Anuel AA,China feat. J Balvin & Ozuna,drinking / drugs / partying
2019,Anuell AA,Secreto ft. Karol G,content - sexual
2019,Apache 207,Roller,language
2021,Arctic Monkeys,Why'd You Only Call Me When You're High?,drinking / drugs / partying
2021,Arctic Monkeys,Do I Wanna Know?,content - sexual
2015,Ariana Grande,One Last Time,content - sad
2020,Ariana Grande,7 Rings,language
2019,Ariana Grande,Boyfriend,language
2019,Ariana Grande,"Break up with your girlfriend, i'm bored",language
2016,Ariana Grande,Focus,language
2019,Ariana Grande,"Thank You, Next",language
2021,Ariana Grande,Six thirty,language
2021,Ariana Grande,love language,language
2021,Ariana Grande,motive (with Doja Cat),language
2021,Ariana Grande,safety net (feat. Ty Dolla $ign),language
2021,Ariana Grande,Shut up,language
2021,Ariana Grande,test drive,language
2021,Ariana Grande,"thank u, next",language
2021,Ariana Grande,nasty,language
2021,Ariana Grande,34+35,content - sexual
2021,Ariana Grande,just like magic,content - sexual
2021,Ariana Grande,my hair,content - sexual
2021,Ariana Grande,obvious,content - sexual
2021,Ariana Grande,off the table (with The Weeknd),content - sexual
2021,Ariana Grande,pov,content - sexual
2021,Ariana Grande,west side,content - sexual
2018,Ariana Grande,God is a woman,content - sexual
2020,Ariana Grande,Positions,content - sexual
2020,Ariana Grande,Stuck With U,content - sexual
2019,Ariana Grande,Don't Call me Angel,content - sexual
2014,Ariana Grande,Love Me Harder,content - sexual
2013,Ariana Grande,The Way,content - sexual
2016,Ariana Grande,Side To Side,content - sexual
2019,Arizona Zervas,Roxanne,language
2021,Arizona Zervas,FML,language
2015,AronChupa,I'm An Albatraoz,language
2021,Ashnikko,Daisy,language
2021,Ashnikko,Slumber Party (feat. Princess Nokia),language
2016,Audiodamn!,Don't Call Me When It's Over,language
